餐厅名称,餐厅图片,菜品类型,推荐菜品,餐厅地址,经度,纬度,附近交通,餐厅电话,开放时间,必吃指数,人均消费,排队情况,附近景点
Babosa烧烤餐厅,,烧烤/巴西菜,米饭,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6629,31.1454,地铁11号线迪士尼站,,根据乐园营业时间,4,120,无排队（乐园内餐厅）,上海迪士尼乐园
Babosa烧烤餐厅,,烧烤/巴西菜,黑豆饭,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6629,31.1454,地铁11号线迪士尼站,,根据乐园营业时间,4,120,无排队（乐园内餐厅）,上海迪士尼乐园
Lumiya Kitchen,,亚洲融合菜,亞洲風味,上海市浦东新区川沙镇上海迪士尼小镇,121.6695,31.1398,地铁11号线迪士尼站,021-31580001,11:00-22:00,4,200,需提前预订,上海迪士尼乐园
Lumiya Kitchen,,亚洲融合菜,咖啡,上海市浦东新区川沙镇上海迪士尼小镇,121.6695,31.1398,地铁11号线迪士尼站,021-31580001,11:00-22:00,4,200,需提前预订,上海迪士尼乐园
Lumiya Kitchen,,亚洲融合菜,海鮮,上海市浦东新区川沙镇上海迪士尼小镇,121.6695,31.1398,地铁11号线迪士尼站,021-31580001,11:00-22:00,4,200,需提前预订,上海迪士尼乐园
Lumiya Kitchen,,亚洲融合菜,甜品,上海市浦东新区川沙镇上海迪士尼小镇,121.6695,31.1398,地铁11号线迪士尼站,021-31580001,11:00-22:00,4,200,需提前预订,上海迪士尼乐园
Lumiya Kitchen,,亚洲融合菜,肉類,上海市浦东新区川沙镇上海迪士尼小镇,121.6695,31.1398,地铁11号线迪士尼站,021-31580001,11:00-22:00,4,200,需提前预订,上海迪士尼乐园
Lumiya Kitchen,,亚洲融合菜,雞尾酒,上海市浦东新区川沙镇上海迪士尼小镇,121.6695,31.1398,地铁11号线迪士尼站,021-31580001,11:00-22:00,4,200,需提前预订,上海迪士尼乐园
彼得潘廷宴厅,,主题餐厅/欧美菜,主菜,"上海迪士尼乐园梦幻世界,浦东新区",121.6489,31.1435,地铁11号线迪士尼站,,根据乐园营业时间,4,180,无排队（需提前预订）,上海迪士尼乐园
彼得潘廷宴厅,,主题餐厅/欧美菜,主题套餐,"上海迪士尼乐园梦幻世界,浦东新区",121.6489,31.1435,地铁11号线迪士尼站,,根据乐园营业时间,4,180,无排队（需提前预订）,上海迪士尼乐园
彼得潘廷宴厅,,主题餐厅/欧美菜,儿童菜单,"上海迪士尼乐园梦幻世界,浦东新区",121.6489,31.1435,地铁11号线迪士尼站,,根据乐园营业时间,4,180,无排队（需提前预订）,上海迪士尼乐园
彼得潘廷宴厅,,主题餐厅/欧美菜,意面,"上海迪士尼乐园梦幻世界,浦东新区",121.6489,31.1435,地铁11号线迪士尼站,,根据乐园营业时间,4,180,无排队（需提前预订）,上海迪士尼乐园
彼得潘廷宴厅,,主题餐厅/欧美菜,果汁,"上海迪士尼乐园梦幻世界,浦东新区",121.6489,31.1435,地铁11号线迪士尼站,,根据乐园营业时间,4,180,无排队（需提前预订）,上海迪士尼乐园
彼得潘廷宴厅,,主题餐厅/欧美菜,汉堡,"上海迪士尼乐园梦幻世界,浦东新区",121.6489,31.1435,地铁11号线迪士尼站,,根据乐园营业时间,4,180,无排队（需提前预订）,上海迪士尼乐园
彼得潘廷宴厅,,主题餐厅/欧美菜,沙拉,"上海迪士尼乐园梦幻世界,浦东新区",121.6489,31.1435,地铁11号线迪士尼站,,根据乐园营业时间,4,180,无排队（需提前预订）,上海迪士尼乐园
彼得潘廷宴厅,,主题餐厅/欧美菜,烤肉,"上海迪士尼乐园梦幻世界,浦东新区",121.6489,31.1435,地铁11号线迪士尼站,,根据乐园营业时间,4,180,无排队（需提前预订）,上海迪士尼乐园
彼得潘廷宴厅,,主题餐厅/欧美菜,热饮,"上海迪士尼乐园梦幻世界,浦东新区",121.6489,31.1435,地铁11号线迪士尼站,,根据乐园营业时间,4,180,无排队（需提前预订）,上海迪士尼乐园
彼得潘廷宴厅,,主题餐厅/欧美菜,甜点,"上海迪士尼乐园梦幻世界,浦东新区",121.6489,31.1435,地铁11号线迪士尼站,,根据乐园营业时间,4,180,无排队（需提前预订）,上海迪士尼乐园
星路台餐厅,,中式菜/乐园主题,中式菜肴,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6581,31.1412,地铁11号线迪士尼站,,根据乐园营业时间,4,80,无排队（乐园内餐厅）,上海迪士尼乐园
星路台餐厅,,中式菜/乐园主题,儿童餐,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6581,31.1412,地铁11号线迪士尼站,,根据乐园营业时间,4,80,无排队（乐园内餐厅）,上海迪士尼乐园
星路台餐厅,,中式菜/乐园主题,春卷,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6581,31.1412,地铁11号线迪士尼站,,根据乐园营业时间,4,80,无排队（乐园内餐厅）,上海迪士尼乐园
星路台餐厅,,中式菜/乐园主题,汤品,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6581,31.1412,地铁11号线迪士尼站,,根据乐园营业时间,4,80,无排队（乐园内餐厅）,上海迪士尼乐园
星路台餐厅,,中式菜/乐园主题,炒面,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6581,31.1412,地铁11号线迪士尼站,,根据乐园营业时间,4,80,无排队（乐园内餐厅）,上海迪士尼乐园
星路台餐厅,,中式菜/乐园主题,烤肉,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6581,31.1412,地铁11号线迪士尼站,,根据乐园营业时间,4,80,无排队（乐园内餐厅）,上海迪士尼乐园
星路台餐厅,,中式菜/乐园主题,特色套餐,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6581,31.1412,地铁11号线迪士尼站,,根据乐园营业时间,4,80,无排队（乐园内餐厅）,上海迪士尼乐园
星路台餐厅,,中式菜/乐园主题,米饭,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6581,31.1412,地铁11号线迪士尼站,,根据乐园营业时间,4,80,无排队（乐园内餐厅）,上海迪士尼乐园
星路台餐厅,,中式菜/乐园主题,蒸菜,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6581,31.1412,地铁11号线迪士尼站,,根据乐园营业时间,4,80,无排队（乐园内餐厅）,上海迪士尼乐园
星路台餐厅,,中式菜/乐园主题,馄饨汤,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.6581,31.1412,地铁11号线迪士尼站,,根据乐园营业时间,4,80,无排队（乐园内餐厅）,上海迪士尼乐园
雪宝饼屋餐厅,,面包店/甜点,三明治,"上海迪士尼乐园内冰雪奇缘园区,浦东新区",121.6538,31.1388,地铁11号线迪士尼站,,根据乐园营业时间,4,60,高排队（乐园内餐厅）,上海迪士尼乐园
雪宝饼屋餐厅,,面包店/甜点,儿童餐,"上海迪士尼乐园内冰雪奇缘园区,浦东新区",121.6538,31.1388,地铁11号线迪士尼站,,根据乐园营业时间,4,60,高排队（乐园内餐厅）,上海迪士尼乐园
雪宝饼屋餐厅,,面包店/甜点,冰淇淋,"上海迪士尼乐园内冰雪奇缘园区,浦东新区",121.6538,31.1388,地铁11号线迪士尼站,,根据乐园营业时间,4,60,高排队（乐园内餐厅）,上海迪士尼乐园
雪宝饼屋餐厅,,面包店/甜点,冷饮,"上海迪士尼乐园内冰雪奇缘园区,浦东新区",121.6538,31.1388,地铁11号线迪士尼站,,根据乐园营业时间,4,60,高排队（乐园内餐厅）,上海迪士尼乐园
雪宝饼屋餐厅,,面包店/甜点,各式面包,"上海迪士尼乐园内冰雪奇缘园区,浦东新区",121.6538,31.1388,地铁11号线迪士尼站,,根据乐园营业时间,4,60,高排队（乐园内餐厅）,上海迪士尼乐园
雪宝饼屋餐厅,,面包店/甜点,烘焙食品,"上海迪士尼乐园内冰雪奇缘园区,浦东新区",121.6538,31.1388,地铁11号线迪士尼站,,根据乐园营业时间,4,60,高排队（乐园内餐厅）,上海迪士尼乐园
雪宝饼屋餐厅,,面包店/甜点,热饮,"上海迪士尼乐园内冰雪奇缘园区,浦东新区",121.6538,31.1388,地铁11号线迪士尼站,,根据乐园营业时间,4,60,高排队（乐园内餐厅）,上海迪士尼乐园
雪宝饼屋餐厅,,面包店/甜点,甜甜圈,"上海迪士尼乐园内冰雪奇缘园区,浦东新区",121.6538,31.1388,地铁11号线迪士尼站,,根据乐园营业时间,4,60,高排队（乐园内餐厅）,上海迪士尼乐园
雪宝饼屋餐厅,,面包店/甜点,糕点,"上海迪士尼乐园内冰雪奇缘园区,浦东新区",121.6538,31.1388,地铁11号线迪士尼站,,根据乐园营业时间,4,60,高排队（乐园内餐厅）,上海迪士尼乐园
雪宝饼屋餐厅,,面包店/甜点,蛋糕,"上海迪士尼乐园内冰雪奇缘园区,浦东新区",121.6538,31.1388,地铁11号线迪士尼站,,根据乐园营业时间,4,60,高排队（乐园内餐厅）,上海迪士尼乐园
Food Republic美食广场,,多国美食/美食广场,中式快餐,上海市迪士尼小镇百食香街，浦东新区,121.661,31.1399,地铁11号线迪士尼站,,根据迪士尼小镇营业时间,3,80,高排队（美食广场高峰期）,上海迪士尼乐园
Food Republic美食广场,,多国美食/美食广场,各类小食,上海市迪士尼小镇百食香街，浦东新区,121.661,31.1399,地铁11号线迪士尼站,,根据迪士尼小镇营业时间,3,80,高排队（美食广场高峰期）,上海迪士尼乐园
Food Republic美食广场,,多国美食/美食广场,寿司,上海市迪士尼小镇百食香街，浦东新区,121.661,31.1399,地铁11号线迪士尼站,,根据迪士尼小镇营业时间,3,80,高排队（美食广场高峰期）,上海迪士尼乐园
Food Republic美食广场,,多国美食/美食广场,日式料理,上海市迪士尼小镇百食香街，浦东新区,121.661,31.1399,地铁11号线迪士尼站,,根据迪士尼小镇营业时间,3,80,高排队（美食广场高峰期）,上海迪士尼乐园
Food Republic美食广场,,多国美食/美食广场,泰国菜,上海市迪士尼小镇百食香街，浦东新区,121.661,31.1399,地铁11号线迪士尼站,,根据迪士尼小镇营业时间,3,80,高排队（美食广场高峰期）,上海迪士尼乐园
Food Republic美食广场,,多国美食/美食广场,海鲜,上海市迪士尼小镇百食香街，浦东新区,121.661,31.1399,地铁11号线迪士尼站,,根据迪士尼小镇营业时间,3,80,高排队（美食广场高峰期）,上海迪士尼乐园
Food Republic美食广场,,多国美食/美食广场,炒面,上海市迪士尼小镇百食香街，浦东新区,121.661,31.1399,地铁11号线迪士尼站,,根据迪士尼小镇营业时间,3,80,高排队（美食广场高峰期）,上海迪士尼乐园
Food Republic美食广场,,多国美食/美食广场,米饭,上海市迪士尼小镇百食香街，浦东新区,121.661,31.1399,地铁11号线迪士尼站,,根据迪士尼小镇营业时间,3,80,高排队（美食广场高峰期）,上海迪士尼乐园
Food Republic美食广场,,多国美食/美食广场,韩国菜,上海市迪士尼小镇百食香街，浦东新区,121.661,31.1399,地铁11号线迪士尼站,,根据迪士尼小镇营业时间,3,80,高排队（美食广场高峰期）,上海迪士尼乐园
Food Republic美食广场,,多国美食/美食广场,馄饨面,上海市迪士尼小镇百食香街，浦东新区,121.661,31.1399,地铁11号线迪士尼站,,根据迪士尼小镇营业时间,3,80,高排队（美食广场高峰期）,上海迪士尼乐园
玩具欢颜广场餐厅,,主题餐厅,主题套餐,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.657,31.1427,地铁11号线迪士尼站,,根据乐园营业时间,3,90,无排队（乐园内餐厅）,上海迪士尼乐园
玩具欢颜广场餐厅,,主题餐厅,儿童套餐,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.657,31.1427,地铁11号线迪士尼站,,根据乐园营业时间,3,90,无排队（乐园内餐厅）,上海迪士尼乐园
玩具欢颜广场餐厅,,主题餐厅,意面,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.657,31.1427,地铁11号线迪士尼站,,根据乐园营业时间,3,90,无排队（乐园内餐厅）,上海迪士尼乐园
玩具欢颜广场餐厅,,主题餐厅,披萨,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.657,31.1427,地铁11号线迪士尼站,,根据乐园营业时间,3,90,无排队（乐园内餐厅）,上海迪士尼乐园
玩具欢颜广场餐厅,,主题餐厅,果汁,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.657,31.1427,地铁11号线迪士尼站,,根据乐园营业时间,3,90,无排队（乐园内餐厅）,上海迪士尼乐园
玩具欢颜广场餐厅,,主题餐厅,汉堡,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.657,31.1427,地铁11号线迪士尼站,,根据乐园营业时间,3,90,无排队（乐园内餐厅）,上海迪士尼乐园
玩具欢颜广场餐厅,,主题餐厅,沙拉,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.657,31.1427,地铁11号线迪士尼站,,根据乐园营业时间,3,90,无排队（乐园内餐厅）,上海迪士尼乐园
玩具欢颜广场餐厅,,主题餐厅,炸鸡,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.657,31.1427,地铁11号线迪士尼站,,根据乐园营业时间,3,90,无排队（乐园内餐厅）,上海迪士尼乐园
玩具欢颜广场餐厅,,主题餐厅,甜点,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.657,31.1427,地铁11号线迪士尼站,,根据乐园营业时间,3,90,无排队（乐园内餐厅）,上海迪士尼乐园
玩具欢颜广场餐厅,,主题餐厅,薯条,上海市黄佑路310号上海迪士尼乐园内，浦东新区,121.657,31.1427,地铁11号线迪士尼站,,根据乐园营业时间,3,90,无排队（乐园内餐厅）,上海迪士尼乐园
Food Republic(迪士尼小镇),,综合美食广场,中式料理,上海市浦东新区川沙镇上海迪士尼小镇,121.6696,31.1399,地铁11号线迪士尼站,021-31580000,11:00-22:00,2,80,中等,上海迪士尼乐园
Food Republic(迪士尼小镇),,综合美食广场,各類小吃,上海市浦东新区川沙镇上海迪士尼小镇,121.6696,31.1399,地铁11号线迪士尼站,021-31580000,11:00-22:00,2,80,中等,上海迪士尼乐园
Food Republic(迪士尼小镇),,综合美食广场,四川酸菜魚,上海市浦东新区川沙镇上海迪士尼小镇,121.6696,31.1399,地铁11号线迪士尼站,021-31580000,11:00-22:00,2,80,中等,上海迪士尼乐园
Food Republic(迪士尼小镇),,综合美食广场,快餐,上海市浦东新区川沙镇上海迪士尼小镇,121.6696,31.1399,地铁11号线迪士尼站,021-31580000,11:00-22:00,2,80,中等,上海迪士尼乐园
