Dish Name,Dish Photo,Dish Description,Recommended Restaurant,Restaurant Address,Phone,Longitude,Latitude,Nearby Transport,Opening Hours,Must-Try Index,Avg Cost,Queue Status,Nearby Attractions
Crystal Shrimp,,"Crystal shrimp is renowned as ""Shanghai's Number One Dish,"" with shrimp that are crystal clear and translucent, cooked skillfully to lock in their tender freshness, offering a soft and smooth texture — a signature dish of Shanghai Benbang cuisine.",Lvbo Lang Yu Garden Store,"No. 3, Bailing Road, Yuyuan Mall, Huangpu District, Shanghai",021-63280602,121.5032,31.2268,"Metro Line 10, Yuyuan Station",10:30-20:00,5,136,Need to queue or make an appointment,"Yuyuan Garden, City God Temple, Xintiandi"
Crystal Shrimp,,"Crystal shrimp is renowned as ""Shanghai's Number One Dish,"" with shrimp that are crystal clear and translucent, cooked skillfully to lock in their tender freshness, offering a soft and smooth texture — a signature dish of Shanghai Benbang cuisine.",Jie Jing Sichuan Restaurant,"82 Yandang Road, Huangpu District, Shanghai",021-53861004,121.4651,31.2126,Line 1 Huangpi South Road Station,11:00-22:00,4,70,Queueing is required during peak hours,Wukang Road
Crystal Shrimp,,"Crystal shrimp is renowned as ""Shanghai's Number One Dish,"" with shrimp that are crystal clear and translucent, cooked skillfully to lock in their tender freshness, offering a soft and smooth texture — a signature dish of Shanghai Benbang cuisine.",New Continent Chinese Kitchen,"6th Floor, Gateway Plaza, No. 1 Hongqiao Road, Xuhui District, Shanghai",021-63330808,121.4368,31.1834,"Metro Line 1, Zhaojiabang Road Station",11:00-22:00,5,125,Need to make an appointment,"Xujiahui, Wukang Road"
Crystal Shrimp,,"Crystal shrimp is renowned as ""Shanghai's Number One Dish,"" with shrimp that are crystal clear and translucent, cooked skillfully to lock in their tender freshness, offering a soft and smooth texture — a signature dish of Shanghai Benbang cuisine.",Lao Kele,"Room 1-103, No. 7 Maoming South Road, Huangpu District, Shanghai",021-63286888,121.4657,31.2403,Metro Line 2 Nanjing West Road Station,11:30-22:00,4,100,Appointment required during peak hours,"Jing'an Temple, Wukang Road"
Shanghai Eight Treasure Duck,,"Shanghai Eight Treasure Duck was first created by Shanghai Laofandian, using high-quality duck stuffed with eight premium ingredients including lotus seeds, ham, scallions, and winter mushrooms, then steamed and braised to perfection. The skin is rich and tender, the meat fragrant and succulent, making it a signature dish of Shanghai Benbang cuisine.",Shanghai Old Restaurant,"242 Fuyou Road, Huangpu District, Shanghai",021-63552275,121.5066,31.2277,Metro Line 8 Dashi World Station,"11:00-14:00, 17:00-21:30",5,196,Queueing is required during peak hours,"City God Temple, Yuyuan Garden, Huangpu River Cruise"
Shanghai Eight Treasure Duck,,"Shanghai Eight Treasure Duck was first created by Shanghai Laofandian, using high-quality duck stuffed with eight premium ingredients including lotus seeds, ham, scallions, and winter mushrooms, then steamed and braised to perfection. The skin is rich and tender, the meat fragrant and succulent, making it a signature dish of Shanghai Benbang cuisine.",Guangming Village Grand Restaurant,"501 Huaihai Middle Road, Huangpu District, Shanghai",021-63213159,121.4679,31.2187,Line 1 Huangpi South Road Station,08:00-20:00,4,76,Need to make an appointment,"Huaihai Road, Xintiandi"
Shanghai Eight Treasure Duck,,"Shanghai Eight Treasure Duck was first created by Shanghai Laofandian, using high-quality duck stuffed with eight premium ingredients including lotus seeds, ham, scallions, and winter mushrooms, then steamed and braised to perfection. The skin is rich and tender, the meat fragrant and succulent, making it a signature dish of Shanghai Benbang cuisine.",Lanxin Restaurant,"130 Jin Xian Road, Huangpu District, Shanghai",021-62530701,121.4886,31.2347,"Metro Line 8, Laoximen Station",11:00-20:30,5,138,Need to make an appointment,"Huangpu River Cruise, City God Temple"
Shanghai Eight Treasure Duck,,"Shanghai Eight Treasure Duck was first created by Shanghai Laofandian, using high-quality duck stuffed with eight premium ingredients including lotus seeds, ham, scallions, and winter mushrooms, then steamed and braised to perfection. The skin is rich and tender, the meat fragrant and succulent, making it a signature dish of Shanghai Benbang cuisine.",Suzhehui,"388 Zhaojiabang Road, Huangpu District, Shanghai",021-64159918,121.4679,31.2187,Line 1 Huangpi South Road Station,11:00-21:00,4,169,Need to make an appointment,"Huaihai Road Commercial Street, Xintiandi"
Shanghai Eight Treasure Duck,,"Shanghai Eight Treasure Duck was first created by Shanghai Laofandian, using high-quality duck stuffed with eight premium ingredients including lotus seeds, ham, scallions, and winter mushrooms, then steamed and braised to perfection. The skin is rich and tender, the meat fragrant and succulent, making it a signature dish of Shanghai Benbang cuisine.",Lvbo Lang Yu Garden Store,"No. 3, Bailing Road, Yuyuan Mall, Huangpu District, Shanghai",021-63280602,121.5032,31.2268,"Metro Line 10, Yuyuan Station",10:30-20:00,5,136,Need to queue or make an appointment,"Yuyuan Garden, City God Temple, Xintiandi"
Shanghai White Cut Chicken,,"White-cut chicken is a classic Shanghai snack, with tender meat, served with scallion oil sauce, where the fragrance of oil and chicken blend together for a unique flavor. Xiao Shaoxing is the founding restaurant of the white-cut chicken eating style.",Xiaoshaoxing (Yunnan Road Store),"69-75 Yunnan South Road, Huangpu District, Shanghai",021-6320-3562,121.506,31.2376,Metro Line 8 Dashi World Station,09:00-20:00,5,50,"Need to queue, waiting 30-60 minutes during peak hours","City God Temple, Yuyuan Garden"
Shanghai White Cut Chicken,,"White-cut chicken is a classic Shanghai snack, with tender meat, served with scallion oil sauce, where the fragrance of oil and chicken blend together for a unique flavor. Xiao Shaoxing is the founding restaurant of the white-cut chicken eating style.",A Si Roast Chicken,"558 Nanjing East Road Pedestrian Street, Huangpu District, Shanghai",021-63366123,121.4934,31.238,Metro Line 2 Nanjing East Road Station,11:00-21:00,4,55,Need to queue,"Nanjing Road Pedestrian Street, The Bund"
Shanghai White Cut Chicken,,"White-cut chicken is a classic Shanghai snack, with tender meat, served with scallion oil sauce, where the fragrance of oil and chicken blend together for a unique flavor. Xiao Shaoxing is the founding restaurant of the white-cut chicken eating style.",Lanxin Restaurant,"130 Jin Xian Road, Huangpu District, Shanghai",021-62530701,121.4886,31.2347,"Metro Line 8, Laoximen Station",11:00-20:30,5,60,Need to queue,"Huangpu River Cruise, City God Temple"
Shanghai White Cut Chicken,,"White-cut chicken is a classic Shanghai snack, with tender meat, served with scallion oil sauce, where the fragrance of oil and chicken blend together for a unique flavor. Xiao Shaoxing is the founding restaurant of the white-cut chicken eating style.",Lao Kele,"Room 1-103, No. 7 Maoming South Road, Huangpu District, Shanghai",021-63286888,121.4657,31.2403,Metro Line 2 Nanjing West Road Station,11:30-22:00,4,100,Appointment required during peak hours,"Jing'an Temple, Wukang Road"
Shanghai White Cut Chicken,,"White-cut chicken is a classic Shanghai snack, with tender meat, served with scallion oil sauce, where the fragrance of oil and chicken blend together for a unique flavor. Xiao Shaoxing is the founding restaurant of the white-cut chicken eating style.",Old-established restaurant,"249 Fangbang Middle Road, Huangpu District, Shanghai",,121.5024,31.227,"Metro Line 10, Yuyuan Station",,4,50,Need to queue,"Yu Garden, City God Temple"
Crab roe tofu,,"Crab roe tofu is a Shanghai-style dish, made by combining tofu with crab roe, crab paste, and other seasonings. It has a soft, smooth texture and a rich, fragrant crab aroma, making it a classic example of Shanghai cuisine.",Lvbo Lang Yu Garden Store,"No. 3, Bailing Road, Yuyuan Mall, Huangpu District, Shanghai",021-63280602,121.5032,31.2268,"Metro Line 10, Yuyuan Station",10:30-20:00,4,136,Need to queue or make an appointment,"Yuyuan Garden, City God Temple, Xintiandi"
Crab roe tofu,,"Crab roe tofu is a Shanghai-style dish, made by combining tofu with crab roe, crab paste, and other seasonings. It has a soft, smooth texture and a rich, fragrant crab aroma, making it a classic example of Shanghai cuisine.",Lanxin Restaurant,"130 Jin Xian Road, Huangpu District, Shanghai",021-62530701,121.4886,31.2347,"Metro Line 8, Laoximen Station",11:00-20:30,4,70,Need to queue,"Huangpu River Cruise, City God Temple"
Crab roe tofu,,"Crab roe tofu is a Shanghai-style dish, made by combining tofu with crab roe, crab paste, and other seasonings. It has a soft, smooth texture and a rich, fragrant crab aroma, making it a classic example of Shanghai cuisine.",Fu1088,"375 Zhenning Road, Jing'an District, Shanghai",021-52376878,121.4637,31.2474,Metro Line 7 Zhenning Road Station,11:00-22:00,5,125,Need to make an appointment,"Jing'an Temple, Wukang Road"
Crab roe tofu,,"Crab roe tofu is a Shanghai-style dish, made by combining tofu with crab roe, crab paste, and other seasonings. It has a soft, smooth texture and a rich, fragrant crab aroma, making it a classic example of Shanghai cuisine.",Lao Zhengxing Restaurant,"556 Fuzhou Road, Huangpu District, Shanghai",021-63222624,121.5066,31.2277,Metro Line 8 Dashi World Station,11:00-22:00,5,125,Need to make an appointment,"City God Temple, Yuyuan Garden, Huangpu River Cruise"
Crab roe tofu,,"Crab roe tofu is a Shanghai-style dish, made by combining tofu with crab roe, crab paste, and other seasonings. It has a soft, smooth texture and a rich, fragrant crab aroma, making it a classic example of Shanghai cuisine.",Rui Fu Yuan,"175 Maoming South Road, Huangpu District, Shanghai",021-62890088,121.4679,31.2187,Line 1 Huangpi South Road Station,"11:00-14:00, 17:00-22:00",5,145,Need to make an appointment,"Huaihai Road, Xintiandi"
Shanghai Crab Shell Yellow,,"Crab shell yellow is a specialty snack from Shanghai, shaped like a crab shell, made with flaky oil pastry, filled with savory and fresh ingredients, and must be eaten hot to enjoy its crispy exterior and soft interior — delicious and satisfying.",Wangjia Sha,"805 Nanjing West Road, Jing'an District, Shanghai",021-62530404,121.4626,31.2401,Metro Line 2 Nanjing West Road Station,07:00-20:30,5,80,No need to queue,Jing'an Temple
Shanghai Crab Shell Yellow,,"Crab shell yellow is a specialty snack from Shanghai, shaped like a crab shell, made with flaky oil pastry, filled with savory and fresh ingredients, and must be eaten hot to enjoy its crispy exterior and soft interior — delicious and satisfying.",True Big Boss Room,"536 Nanjing East Road, Huangpu District, Shanghai",,121.4934,31.238,Metro Line 2 Nanjing East Road Station,10:00-20:00,5,21,No need to queue,"Nanjing Road Pedestrian Street, The Bund"
Shanghai Crab Shell Yellow,,"Crab shell yellow is a specialty snack from Shanghai, shaped like a crab shell, made with flaky oil pastry, filled with savory and fresh ingredients, and must be eaten hot to enjoy its crispy exterior and soft interior — delicious and satisfying.",Heping Restaurant New Ya Cantonese Cuisine,"719 Nanjing East Road, Huangpu District, Shanghai",021-63224393,121.494,31.2387,Metro Line 2 Nanjing East Road Station,11:00-22:00,4,100,Need to queue,"Nanjing Road Pedestrian Street, The Bund"
Shanghai Crab Shell Yellow,,"Crab shell yellow is a specialty snack from Shanghai, shaped like a crab shell, made with flaky oil pastry, filled with savory and fresh ingredients, and must be eaten hot to enjoy its crispy exterior and soft interior — delicious and satisfying.",Changchun Food Store,"619 Nanjing East Road, Huangpu District, Shanghai",021-54030101,121.4934,31.238,Metro Line 2 Nanjing East Road Station,08:00-21:00,4,35,No need to queue,Nanjing Road Pedestrian Street
Shanghai Crab Shell Yellow,,"Crab shell yellow is a specialty snack from Shanghai, shaped like a crab shell, made with flaky oil pastry, filled with savory and fresh ingredients, and must be eaten hot to enjoy its crispy exterior and soft interior — delicious and satisfying.",Qibao Old Street,"38 Qingnian Road, Qibao Town, Minhang District, Shanghai",,121.1859,31.0337,Metro Line 9 Qibao Station,09:00-22:00,4,15,Need to queue,Qibao Ancient Town
Vegetarian Bao,,"Vegetable buns are a classic Shanghai breakfast, filled with fresh vegetables such as Shanghai greens, shiitake mushrooms, and dried tofu. The thin skin and generous filling make them soft, chewy, and refreshing — a top choice for vegetarians.",Spring Wind Pine Moon Tower,"23 Baiying Road, Huangpu District, Shanghai",021-63553630,121.5026,31.2264,"Metro Line 10, Yuyuan Station",07:00-20:00,5,65,"Need to queue, wait 30 minutes during peak hours","Yuyuan Garden, City God Temple, Tianzifang"
Vegetarian Bao,,"Vegetable buns are a classic Shanghai breakfast, filled with fresh vegetables such as Shanghai greens, shiitake mushrooms, and dried tofu. The thin skin and generous filling make them soft, chewy, and refreshing — a top choice for vegetarians.",Lvbo Lang Yu Garden Store,"No. 3, Bailing Road, Yuyuan Mall, Huangpu District, Shanghai",021-63280602,121.5032,31.2268,"Metro Line 10, Yuyuan Station",10:30-20:00,4,136,Need to queue,"Yuyuan Garden, City God Temple, Xintiandi"
Vegetarian Bao,,"Vegetable buns are a classic Shanghai breakfast, filled with fresh vegetables such as Shanghai greens, shiitake mushrooms, and dried tofu. The thin skin and generous filling make them soft, chewy, and refreshing — a top choice for vegetarians.",Wangjia Sha,"805 Nanjing West Road, Jing'an District, Shanghai",021-62530404,121.4626,31.2401,Metro Line 2 Nanjing West Road Station,07:00-20:30,4,80,No need to queue,Jing'an Temple
Vegetarian Bao,,"Vegetable buns are a classic Shanghai breakfast, filled with fresh vegetables such as Shanghai greens, shiitake mushrooms, and dried tofu. The thin skin and generous filling make them soft, chewy, and refreshing — a top choice for vegetarians.",Xian De Lai Wonton Restaurant,"36-46 Yunnan South Road, Huangpu District, Shanghai",,121.5041,31.2333,Metro Line 8 Nanjing East Road Station,10:30-19:00,4,32,Need to queue,"City God Temple, Yuyuan Garden"
Vegetarian Bao,,"Vegetable buns are a classic Shanghai breakfast, filled with fresh vegetables such as Shanghai greens, shiitake mushrooms, and dried tofu. The thin skin and generous filling make them soft, chewy, and refreshing — a top choice for vegetarians.",True Big Boss Room,"536 Nanjing East Road, Huangpu District, Shanghai",,121.4934,31.238,Metro Line 2 Nanjing East Road Station,10:00-20:00,4,21,No need to queue,"Nanjing Road Pedestrian Street, The Bund"
Shanghai Eight Treasure Rice,,"Eight Treasure Rice is a traditional Shanghai dessert, symbolizing auspiciousness and good fortune. Made with glutinous rice, red beans, lotus seeds, and other ingredients, it is sweet, fragrant, and sticky — an essential sweet treat for festivals and banquets.",Ou Yue · Zun Xian · Ou Wei Yi Pin,"5th Floor, Henglong Plaza, No. 1266 Nanjing West Road, Jing'an District, Shanghai",,121.445,31.23,"Metro Line 7, Jing'an Temple Station",11:00-22:00,4,288,Need to make an appointment,Jing'an Temple
Shanghai Eight Treasure Rice,,"Eight Treasure Rice is a traditional Shanghai dessert, symbolizing auspiciousness and good fortune. Made with glutinous rice, red beans, lotus seeds, and other ingredients, it is sweet, fragrant, and sticky — an essential sweet treat for festivals and banquets.",Lao Xing Xian,"Shanghai Huangpu District Huaihai Middle Road 300, K11 Shopping Art Center B2 Level",136-81653751,121.5022,31.228,Metro Line 8 Dashi World Station,11:00-21:00,4,235,Need to make an appointment,"City God Temple, Yuyuan Garden"
Shanghai Eight Treasure Rice,,"Eight Treasure Rice is a traditional Shanghai dessert, symbolizing auspiciousness and good fortune. Made with glutinous rice, red beans, lotus seeds, and other ingredients, it is sweet, fragrant, and sticky — an essential sweet treat for festivals and banquets.",Peninsula Hotel·Yilong Pavilion,"2nd Floor, Peninsula Hotel, No. 32 The Bund, No. 32 Zhongshan Dong Yi Road, Huangpu District, Shanghai",,121.5019,31.2224,Line 2 Pudong South Road Station,11:30-22:00,5,350,Need to make an appointment,"Huangpu River Cruise, Lujiazui"
Shanghai Eight Treasure Rice,,"Eight Treasure Rice is a traditional Shanghai dessert, symbolizing auspiciousness and good fortune. Made with glutinous rice, red beans, lotus seeds, and other ingredients, it is sweet, fragrant, and sticky — an essential sweet treat for festivals and banquets.",Suzhehui,"388 Zhaojiabang Road, Huangpu District, Shanghai",021-64159918,121.4679,31.2187,Line 1 Huangpi South Road Station,11:00-21:00,4,169,Need to make an appointment,"Huaihai Road Commercial Street, Xintiandi"
Shanghai Eight Treasure Rice,,"Eight Treasure Rice is a traditional Shanghai dessert, symbolizing auspiciousness and good fortune. Made with glutinous rice, red beans, lotus seeds, and other ingredients, it is sweet, fragrant, and sticky — an essential sweet treat for festivals and banquets.",Lvbo Lang Yu Garden Store,"No. 3, Bailing Road, Yuyuan Mall, Huangpu District, Shanghai",021-63280602,121.5032,31.2268,"Metro Line 10, Yuyuan Station",10:30-20:00,4,136,Need to queue or make an appointment,"Yuyuan Garden, City God Temple, Xintiandi"
Fresh Meat Mooncake,,"Fresh meat mooncake is a Shanghai specialty snack, wrapped in flaky pastry with fresh pork filling, best eaten hot — biting into it releases a burst of juicy meat, with a crispy exterior and soft interior, a must-eat during festivals.",Wangjia Sha,"805 Nanjing West Road, Jing'an District, Shanghai",021-62530404,121.4626,31.2401,Metro Line 2 Nanjing West Road Station,07:00-20:30,5,80,Queues are needed before and after Mid-Autumn Festival,Jing'an Temple
Fresh Meat Mooncake,,"Fresh meat mooncake is a Shanghai specialty snack, wrapped in flaky pastry with fresh pork filling, best eaten hot — biting into it releases a burst of juicy meat, with a crispy exterior and soft interior, a must-eat during festivals.",Heping Restaurant New Ya Cantonese Cuisine,"719 Nanjing East Road, Huangpu District, Shanghai",021-63224393,121.494,31.2387,Metro Line 2 Nanjing East Road Station,11:00-22:00,5,100,Queues are needed during Mid-Autumn Festival,"Nanjing Road Pedestrian Street, The Bund"
Fresh Meat Mooncake,,"Fresh meat mooncake is a Shanghai specialty snack, wrapped in flaky pastry with fresh pork filling, best eaten hot — biting into it releases a burst of juicy meat, with a crispy exterior and soft interior, a must-eat during festivals.",Jingan Bakery,"No. 1001 Nanjing West Road, Jing'an District, Shanghai",021-62536286,121.4626,31.2401,Metro Line 2 Nanjing West Road Station,08:00-21:00,4,28,Queues are needed before and after Mid-Autumn Festival,Jing'an Temple
Fresh Meat Mooncake,,"Fresh meat mooncake is a Shanghai specialty snack, wrapped in flaky pastry with fresh pork filling, best eaten hot — biting into it releases a burst of juicy meat, with a crispy exterior and soft interior, a must-eat during festivals.",Tai Kang Food Store,"No. 766 Nanjing East Road, 1st Floor, Huangpu District, Shanghai",021-63222482,121.4934,31.238,Metro Line 2 Nanjing East Road Station,08:30-20:30,4,32,Queues are needed during Mid-Autumn Festival,Nanjing Road Pedestrian Street
Fresh Meat Mooncake,,"Fresh meat mooncake is a Shanghai specialty snack, wrapped in flaky pastry with fresh pork filling, best eaten hot — biting into it releases a burst of juicy meat, with a crispy exterior and soft interior, a must-eat during festivals.",Lao Jishi Bakery,"B1 Floor, IAPM Mall, No. 999 Huaihai Middle Road, Xuhui District, Shanghai",,121.4679,31.2187,Line 1 Huangpi South Road Station,08:00-21:00,4,38,Queues are needed during Mid-Autumn Festival,Huaihai Road
