Attraction Name,Province,City,District,Region,Address,Longitude,Latitude,Category,Core Category,Theme Tags,Scenic Level,Nearby Transport,Opening Hours,Ticket Price,Fee Type,Ticket Purchase,Suggested Duration,Best Visit Months,Suitable For,Introduction,Selling Points,Photo URL,
Wengding Primitive Tribe,Yunnan Province,Lincang City,Cangyuan Wa Autonomous County,Southwest,"Mengjiao Township, Cangyuan Wa Autonomous County, Lincang City, Yunnan Province",100.147885,23.536159,4A-level scenic area|Primitive tribe,Natural scenery|Folk customs,,4A,Bus: Bus Route 33 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-18:00,20/person,Paid,Search and buy tickets on Dianping APP | Book scenic area tickets on Gaode Map APP | Search scenic area name and buy tickets on Fliggy APP,2-3 hours,Suitable all year round,All ages,"Wengding is China's last primitive tribe, preserving the Wa ethnic group's original architectural style and simple local customs. The surrounding natural scenery is beautiful, with thatched houses, ox-head stakes, and village stakes being particularly distinctive.","China's last primitive tribe, Wa culture, thatched houses, ox-head stakes",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/翁丁原始部落.webp,
Cangyuan Cliff Paintings,Yunnan Province,Lincang City,Cangyuan Wa Autonomous County,Southwest,"Mengla Township, Cangyuan Wa Autonomous County, Lincang City, Yunnan Province",99.813843,24.298216,National Key Cultural Relics Protection Unit,Natural scenery|Historical culture,,Other,Bus: Bus Route 38 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-18:00,"20/person, concession ticket 10/person",Paid,Buy scenic area tickets via Baidu Map APP | Reserve via scenic area official WeChat public account,2-3 hours,Suitable all year round,All ages,"The Cangyuan Cliff Paintings are works from the late Neolithic period over 3000 years ago, distributed on mountain cliffs above 2000 meters in altitude. The content is rich, including figures, animals, houses, and utensils, and is important material for studying ancient Wa culture.","3000-year-old cliff paintings, Neolithic period, Wa ancestors, historical culture",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/沧源崖画.webp,
Jade Dragon Snow Mountain,Yunnan Province,Lijiang City,Yulong Naxi Autonomous County,Southwest,"Snowflake Village, Yulong Naxi Autonomous County, Lijiang City, Yunnan Province",100.56124,26.817645,5A-level scenic area|National-level scenic spot,Natural scenery|Garden park,,5A,Bus: Bus 22 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,06:00-18:00,"Mountain entry fee: 100/person, cable car ticket extra (large cable car 140/person)",Paid,Baidu Map APP scenic area ticket purchase | Fliggy APP search scenic area name to buy tickets | Gaode Map APP scenic area ticket reservation,4-8 hours,Suitable all year round,All ages,"Jade Dragon Snow Mountain is the sacred mountain of the Naxi people, with the main peak Shanzidou at an elevation of 5,596 meters, covered in snow year-round. The scenic area features Glacier Park, Blue Moon Valley, and Yunshanping, and you can take the cable car directly to Glacier Park at 4,506 meters.","Naxi Sacred Mountain, modern maritime glacier, Blue Moon Valley, 'Impression Lijiang' performance",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/玉龙雪山.webp,
Shuhe Ancient Town,Yunnan Province,Lijiang City,Old Town District,Southwest,"No. Shuhe Ancient Town Archway, Shuhe Road, Shuhe Ancient Town, Gucheng District, Lijiang City, Yunnan Province",99.973068,26.963364,4A-level scenic area|Historic and cultural famous town,Historical and cultural,,4A,Bus: Bus 4 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,Open All Day,30/person (often free in practice),Paid,Ctrip APP search scenic area name to buy tickets | Scenic area official website online reservation,3-4 hours,Suitable all year round,All ages,"Shuhe Ancient Town is located 4 kilometers northwest of Lijiang Old Town, an important relay station on the Tea Horse Road. Compared to the bustling Dayan Old Town, Shuhe is quieter and more rustic, featuring landmarks such as Qinglong Bridge and Jiuding Longtan, making it an ideal place to experience Tea Horse Road culture.","Tea Horse Road relay station, Naxi dwellings, Qinglong Bridge, quieter than the old town",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/束河古镇.webp,
Tengchong Volcano and Hot Sea Tourism Area,Yunnan Province,Baoshan City,Tengchong City,Southwest,"Hot Sea Scenic Area, Qingxi Township, Tengchong City, Baoshan City, Yunnan Province",99.079866,25.138808,5A-level scenic area|Geothermal Geological Park,Natural scenery|Museum|Garden park,Wellness and health,5A,Bus: Bus 45 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,08:00-19:00,"Hot Sea Scenic Area: 50/person, Volcano Scenic Area: 35/person",Paid,Baidu Map APP scenic area ticket purchase | Scenic area official WeChat public account reservation | Ctrip APP search scenic area name to buy tickets,4-6 hours,Suitable all year round,All ages,"Tengchong Volcanic Hot Sea is one of China's three major geothermal areas, known as the ""Geothermal Museum."" The hot sea scenic area contains over 80 large and small gas springs and hot spring clusters, with the Great Boiling Pot reaching a water temperature of up to 96.6℃. The volcanic scenic area features 97 volcanic bodies.","5A-level scenic area, geothermal wonder, Great Boiling Pot, volcanic geology, hot spring wellness",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/腾冲火山热海旅游区.webp,
Heshun Ancient Town,Yunnan Province,Baoshan City,Tengchong City,Southwest,"Heshun Town, Tengchong City, Baoshan City, Yunnan Province",99.428872,25.610109,4A-level scenic area|Historic and cultural famous town,Historical and cultural,,4A,Bus: Bus Route 28 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,Open All Day,¥55/person,Paid,Purchase tickets via Dianping APP search | Purchase tickets online via Ctrip Travel APP,3-4 hours,Suitable all year round,All ages,"Heshun Ancient Town is a renowned overseas Chinese hometown in Yunnan with over 600 years of history. The ancient town is well-preserved, featuring landmarks such as the library, Wen Chang Palace, and Ai Siqi's former residence, exemplifying the fusion of Central Plains and frontier cultures.","China's First Village Library, Overseas Chinese Culture, Hui-style Architecture, Overseas Chinese Charm",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/和顺古镇.webp,
Dali Ancient City,Yunnan Province,Dali Bai Autonomous Prefecture,Dali City,Southwest,"No. 42 Yitai Road, Dali City, Dali Bai Autonomous Prefecture, Yunnan Province",100.391032,25.942435,4A-level scenic area | National Historical and Cultural City,Natural scenery|Historical culture,,4A,Bus: Bus Route 29 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,Open All Day,Free,Free,Purchase scenic area tickets via Baidu Maps APP | Search for scenic area name group purchase on Douyin APP | Search for scenic area name ticket purchase on Ctrip APP,1-2 days,Suitable all year round,All ages,"Dali Ancient City was first built in the 15th year of the Hongwu reign of the Ming Dynasty, with over 600 years of history. The ancient city features landmarks such as the Wenxian Tower, Wuhua Tower, and Foreigners' Street, reflecting Bai ethnic traditional culture. Embracing Cangshan Mountain and Erhai Lake, the scenery is picturesque.","National Historical and Cultural City, Bai Ethnic Flair, Foreigners' Street, Cangshan Mountain and Erhai Lake",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/大理古城.webp,
Chongsheng Temple Three Pagodas,Yunnan Province,Dali Bai Autonomous Prefecture,Dali City,Southwest,"Chongsheng Temple Three Pagodas Cultural Tourism Area, Dali City, Dali Bai Autonomous Prefecture, Yunnan Province",100.554276,25.405056,5A-level scenic area | Ancient Architecture,Historical Culture | Religious Site | Modern Architecture,,5A,Bus: Bus Route 14 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-19:00,75/person,Paid,Ctrip APP online ticket purchase | Gaode Map APP scenic spot ticket booking | Scenic area official WeChat public account reservation,2-3 hours,Suitable all year round,All ages,"The Three Pagodas of Chongsheng Temple are the symbol of Dali's ""Literary Famous State,"" with the main pagoda, Qianxun Pagoda, standing at 69.13 meters tall, built during the Tang Dynasty. The three pagodas stand in a tripod formation, majestic and grand, symbolizing Yunnan's ancient history and culture.","5A-level scenic area, Dali landmark, Tang Dynasty ancient pagoda, Three Pagodas reflection",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/崇圣寺三塔.webp,
Cangshan Mountain and Erhai Lake,Yunnan Province,Dali Bai Autonomous Prefecture,Dali City,Southwest,"Dali City, Dali Bai Autonomous Prefecture, Yunnan Province",99.849672,26.074349,National-level scenic spot | Nature reserve,Natural scenery | Religious site,,Other,Bus: Bus 45 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name | Scenic area shuttle/sightseeing vehicle,Open All Day,Erhai Lake is free; Cangshan cable car incurs additional fees,Paid,Gaode Map APP scenic spot ticket booking | Ctrip APP online ticket purchase,1-2 days,Suitable all year round,All ages,"Cangshan Mountain and Erhai Lake are the foremost of Dali's ""Wind, Flowers, Snow, and Moon"" four scenic views. Cangshan has nineteen peaks and eighteen streams, and Erhai Lake is Yunnan's second-largest plateau lake. Visitors can take a boat tour on Erhai Lake, climb Cangshan for panoramic views of Erhai, and experience Dali's natural beauty.","Wind, Flowers, Snow, and Moon; plateau lake; Cangshan nineteen peaks; Erhai cycling",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/苍山洱海.webp,
"One Village, Two Countries",Yunnan Province,Dehong Dai and Jingpo Autonomous Prefecture,Ruili City,Southwest,"Yin Jing Village, Xiexiang Township, Ruili City, Dehong Dai and Jingpo Autonomous Prefecture, Yunnan Province",98.164316,24.665608,3A-level scenic area | Border wonder,Religious site | Folk customs,,3A,Bus: Bus Route 14 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-19:00,30/person,Paid,Gaode Map APP scenic spot ticket booking | Ctrip APP search scenic area name to purchase tickets | Baidu Map APP scenic spot ticket purchase,2-3 hours,Suitable all year round,All ages,"One Village, Two Countries is located on the China-Myanmar border, with the international boundary winding through the center of the village. Marker No. 71 stands in the village, offering the unique experience of ""one swing swaying over two countries.""","China-Myanmar border, One Village Two Countries, Marker No. 71, border charm",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/一寨两国.webp,
Moli Tropical Rainforest,Yunnan Province,Dehong Dai and Jingpo Autonomous Prefecture,Ruili City,Southwest,Yunnan Province Dehong Dai and Jingpo Autonomous Prefecture Ruili City National Highway 302,98.837221,23.953864,4A-level scenic area|Tropical rainforest,Natural scenery|Religious sites|Leisure vacation,Wellness and health,4A,Bus: Bus Route 31 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:30-18:30,35/person,Paid,Baidu Maps APP scenic spot ticket purchase | Dianping APP search and purchase tickets,3-4 hours,Suitable all year round,All ages,"Mori Tropical Rainforest is renowned far and wide for its exquisite and extraordinary tropical rainforest landscape and Buddhist holy site. Legend has it that the Buddha once fasted and bathed by the hot springs here, leaving behind a giant footprint. The scenic area features waterfalls, hot springs, tropical rainforest, and other attractions.","Tropical rainforest, Buddhist holy site, waterfall hot springs, negative oxygen ions",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/莫里热带雨林.webp,
Mengyin Silver Pagoda,Yunnan Province,Dehong Dai and Jingpo Autonomous Prefecture,Mangshi,Southwest,"No. 58 Xianchi Road, Mangshi City, Dehong Dai and Jingpo Autonomous Prefecture, Yunnan Province",98.549813,24.072366,4A-level scenic area|Buddhist architecture,Religious sites|Modern architecture|City sightseeing,Photography|Night tour,4A,Bus: Bus Route 18 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-23:00,40/person,Paid,Baidu Map APP scenic spot ticket purchase | Gaode Map APP scenic spot ticket reservation | Douyin APP search scenic spot name group purchase,2-3 hours,Suitable all year round,All ages,"Mengyin Silver Pagoda is the iconic landmark of Mangshi City, echoing afar with the Mengyin Great Golden Pagoda. The silver pagoda is pure white throughout, especially dazzling under blue skies and white clouds, making it a popular photo打卡 spot, with night views being particularly spectacular.","Mangshi landmark, Silver Pagoda night view, Buddhist culture, photo打卡",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/勐焕银塔.webp,
Bingzhongluo,Yunnan Province,Nujiang Lisu Autonomous Prefecture,Gongshan Derung and Nu Autonomous County,Southwest,"Nujiang Lisu Autonomous Prefecture, Yunnan Province, Gongshan Derung and Nu Autonomous County, Bingzhongluo Town",98.375569,26.028196,3A-level scenic area|Canyon scenery,Natural scenery,,3A,Bus: Bus Route 10 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,Open All Day,50/person,Paid,Scenic area official website online booking | Fliggy APP search scenic name to buy tickets | Dianping APP search to buy tickets,1-2 days,Suitable all year round,All ages,"Bingzhongluo is located in the core area of the ""Three Parallel Rivers"", a rare open terrace deep in the Nujiang Grand Canyon. It features the First Bend of the Nujiang River, Misty Village, Qiu Na Bucket, and other attractions, acclaimed as ""a place where humans and gods coexist"".","Three Rivers Confluence, First Bend of the Nujiang River, Misty Village, Where Humans and Gods Coexist",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/丙中洛.webp,
Puzhehei,Yunnan Province,Wenshan Zhuang and Miao Autonomous Prefecture,Qiubei County,Southwest,"West 200 meters at the intersection of County Road 010 and Provincial Road 321, Qiubei County, Wenshan Zhuang and Miao Autonomous Prefecture, Yunnan Province",104.608533,23.59698,4A-level Scenic Area|National Scenic Spot,Natural scenery | Religious site,Flower Viewing,4A,Bus: Bus Route 8 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-17:30,"Scenic area admission is free; boat tours, karst caves, etc. are charged separately",Paid,Gaode Map APP scenic spot ticket booking | Meituan APP search scenic spot name to reserve,1-2 days,Suitable all year round,All ages,"Puzhehei is a typical karst landscape, renowned for its six major landscapes: 'Waterborne Countryside, Lake and Peak Forest, Yi Ethnic Water Village, Karst Wetland, Lotus World, Bird Paradise'. It is a filming location for 'Where Are We Going, Dad?' and 'Eternal Love: Ten Miles of Peach Blossoms'.","Karst Mountains and Waters, Lotus World, Filming Location of Eternal Love, Yi Ethnic Culture",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/普者黑.webp,
Bami Shangri-La,Yunnan Province,Wenshan Zhuang and Miao Autonomous Prefecture,Guangnan County,Southwest,"Bami Town, Guangnan County, Wenshan Zhuang and Miao Autonomous Prefecture, Yunnan Province",104.06796,23.407822,4A-level Scenic Area|Shangri-La,Natural scenery|Folk customs,Flower Viewing,4A,Bus: Bus Route 42 | Self-drive: Navigate to scenic area parking lot | Taxi/Ride-hailing: Directly locate scenic area name,08:00-17:30,180/person (includes boat ticket and sightseeing vehicle),Paid,Baidu Map APP scenic spot ticket purchase | Scenic spot official website online reservation | Dianping APP search and purchase tickets,4-8 hours,Suitable all year round,All ages,"Bami is hailed as the real-world version of the 'Peach Blossom Spring' described by Tao Yuanming. The village is surrounded by mountains on all sides, and entry and exit require boarding a boat to pass through an 800-meter-long water karst cave, a typical karst landform. The village boasts beautiful rural scenery and rich Zhuang ethnic culture.","Real-world Peach Blossom Spring, Water Cave Waterway, Zhuang Ethnic Culture, Rural Scenery",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/坝美世外桃源.webp,
Stone Forest Scenic Area,Yunnan Province,Kunming City,Shilin Yi Autonomous County,Southwest,"Shilin Street, Shilin Yi Autonomous County, Kunming City, Yunnan Province",103.199523,25.331699,5A-level Scenic Area|National Geopark|UNESCO World Natural Heritage,Natural scenery|Religious sites|Gardens and parks,,5A,"Subway: Line 2, Kunming Liberation Station | Bus: 570, 519, 778 | Taxi/Ride-hailing: Search the scenic area name to arrive | Self-drive: Navigate to 'Kunming XX Scenic Area', the scenic area provides parking",07:00-18:00,"130/person (regular ticket), 65/person (half-price ticket)",Paid,Search and buy tickets on Dianping APP | Search and reserve tickets on Meituan APP by scenic area name | Purchase tickets via Baidu Maps APP,4-6 hours,Suitable all year round,All ages,"The Stone Forest is a typical karst landscape, acclaimed as the 'Number One Wonder under Heaven'. The scenic area features towering rock formations, comprising the Greater Stone Forest, Lesser Stone Forest, Bishou Mountain, Liziyuan Valley, and Wan Nian Lingzhi sections, and boasts exquisite natural scenery including caves, solution lakes, waterfalls, and underground rivers.","World Natural Heritage, Ashima Legend, Yi Ethnic Culture, Karst Landscape Wonder",https://lyricktrip-1304007227.cos.na-siliconvalley.myqcloud.com/trip-images/石林风景区.webp,
